product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Кровяная колбаса,1872,121,Мясо,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1994-04-01,2000-07-14,3.99,Available for Pickup
2,Мандарин,3053,982,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1996-02-04,1997-02-12,2.72,Delivered
3,Шубат,9824,243,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,2001-02-09,2012-01-09,4.91,Delivered
4,Бадьян,8479,137,Бакалея,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2014-03-14,2029-03-05,1.79,Shipping
5,Пажитник сушеный,2298,32,Бакалея,Широко используется в традиционной и современной кухне.,1997-01-14,1998-01-06,0.76,Temporarily Unavailable
6,Инжир,9147,386,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1990-01-06,2029-02-05,0.87,Cancelled
7,Mountain Dew,2804,875,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2002-12-17,2011-06-22,3.23,Sold
8,Балык,2152,807,Мясо,Отвечает всем современным стандартам качества и безопасности.,2002-05-14,2009-01-02,2.94,Available for Pickup
9,Петрушка корневая,6339,359,Овощи,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",1994-03-09,2012-07-04,3.31,Temporarily Unavailable
10,Эмменталь,9129,262,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2004-02-16,2013-04-18,1.44,In Stock
11,Камамбер,4667,254,Молочные продукты,Подходит для использования в рецептах традиционной кухни разных стран.,2003-04-18,2013-01-23,2.04,Sold
12,Миксер,8226,303,Товары для дома,Придает блюдам особую нежность и насыщенность.,2007-01-01,2014-02-13,2.95,Returned
13,Лимон,6064,882,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1990-05-04,2012-02-12,1.26,Awaiting Payment
14,Расческа,3558,962,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2010-08-03,2011-05-13,2.6,Backorder
15,Каймак,8812,542,Молочные продукты,Отличается низкой калорийностью и высоким содержанием белка.,2013-02-11,2014-03-04,4.32,Returned
16,Лук-порей,3863,925,Овощи,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1990-02-08,2001-04-02,4.96,New
17,Укроп,531,225,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2018-06-02,2024-06-13,0.12,Pending
18,Коктебельская,2834,665,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,1992-01-05,1993-03-06,1.52,Available for Pickup
19,Сбитень медовый,3146,657,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1997-02-13,2014-01-16,1.04,New
20,Повидло,7277,144,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-03-06,2010-06-02,1.12,Backorder
21,Каша из дробленой ржи,4504,812,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2013-01-11,2020-11-06,4.23,New
22,Кролик,3226,31,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2014-09-16,2024-03-06,4.84,Returned
23,Растительное масло горчичное,9763,401,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2008-04-01,2016-03-14,4.19,Available for Pickup
24,Мыло жидкое,3344,136,Товары для дома,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2012-12-07,2015-01-21,4.93,Temporarily Unavailable
25,Пакеты для Всемирного дня здоровья,4038,617,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2000-06-08,2027-02-03,2.2,Awaiting Payment
26,Сливки,1128,594,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2019-01-03,2023-01-04,1.7,New
27,Абрикос,9788,195,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,1992-09-08,1994-01-22,4.06,Pending
28,Термосы,9444,973,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1996-09-16,2015-03-06,3.01,Temporarily Unavailable
29,Нектарин,1552,884,Фрукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1995-08-15,2007-02-01,3.97,Awaiting Review
30,Энчиладас с мясом,9175,730,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1997-09-02,1998-01-14,2.5,In Stock
31,Утиная печень,5768,778,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2010-04-06,2025-04-09,3.66,Pending
32,Пахта,4311,679,Молочные продукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1997-02-12,2002-02-14,4.41,Available for Pickup
33,Йогурт,7483,425,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2000-05-13,2001-05-02,4.01,Delivered
34,Каша из дробленой гречихи,6858,541,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1995-07-09,2012-02-13,4.78,Awaiting Review
35,Coca-Cola Zero,7387,646,Напитки,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2013-03-02,2028-07-14,0.09,Cancelled
36,Пахта,934,660,Молочные продукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2019-01-03,2027-01-02,4.99,In Stock
37,Брюква,1940,525,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2015-06-02,2023-03-02,3.78,Temporarily Unavailable
