product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Кровяная колбаса,1872.0,121,Мясо,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1994-04-01,2000-07-14,Available for Pickup
2,Мандарин,3053.0,982,Фрукты,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1996-02-04,1997-02-12,Delivered
4,Бадьян,8479.0,137,Бакалея,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2014-03-14,2029-03-05,Shipping
5,Пажитник сушеный,2298.0,32,Бакалея,Широко используется в традиционной и современной кухне.,1997-01-14,1998-01-06,Temporarily Unavailable
6,Инжир,9147.0,386,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1990-01-06,2029-02-05,Cancelled
7,Mountain Dew,2804.0,875,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2002-12-17,2011-06-22,Sold
8,Балык,2152.0,807,Мясо,Отвечает всем современным стандартам качества и безопасности.,2002-05-14,2009-01-02,Available for Pickup
9,Петрушка корневая,6339.0,359,Овощи,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",1994-03-09,2012-07-04,Temporarily Unavailable
12,Миксер,8226.0,303,Товары для дома,Придает блюдам особую нежность и насыщенность.,2007-01-01,2014-02-13,Returned
13,Лимон,6064.0,882,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1990-05-04,2012-02-12,Awaiting Payment
14,Расческа,3558.0,962,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2010-08-03,2011-05-13,Backorder
16,Лук-порей,3863.0,925,Овощи,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1990-02-08,2001-04-02,New
17,Укроп,531.0,225,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2018-06-02,2024-06-13,Pending
18,Коктебельская,2834.0,665,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,1992-01-05,1993-03-06,Available for Pickup
19,Сбитень медовый,3146.0,657,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1997-02-13,2014-01-16,New
20,Повидло,7277.0,144,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-03-06,2010-06-02,Backorder
21,Каша из дробленой ржи,4504.0,812,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2013-01-11,2020-11-06,New
22,Кролик,3226.0,31,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2014-09-16,2024-03-06,Returned
23,Растительное масло горчичное,9763.0,401,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2008-04-01,2016-03-14,Available for Pickup
24,Мыло жидкое,3344.0,136,Товары для дома,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2012-12-07,2015-01-21,Temporarily Unavailable
25,Пакеты для Всемирного дня здоровья,4038.0,617,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2000-06-08,2027-02-03,Awaiting Payment
27,Абрикос,9788.0,195,Фрукты,Поддерживает иммунитет и общее состояние здоровья.,1992-09-08,1994-01-22,Pending
28,Термосы,9444.0,973,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1996-09-16,2015-03-06,Temporarily Unavailable
29,Нектарин,1552.0,884,Фрукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1995-08-15,2007-02-01,Awaiting Review
30,Энчиладас с мясом,9175.0,730,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1997-09-02,1998-01-14,In Stock
31,Утиная печень,5768.0,778,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2010-04-06,2025-04-09,Pending
34,Каша из дробленой гречихи,6858.0,541,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1995-07-09,2012-02-13,Awaiting Review
35,Coca-Cola Zero,7387.0,646,Напитки,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2013-03-02,2028-07-14,Cancelled
37,Брюква,1940.0,525,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2015-06-02,2023-03-02,Temporarily Unavailable
38,Паштет,5658.0,711,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1991-03-14,2019-05-06,Available for Pickup
39,Шаверма,9898.0,143,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2008-06-25,2023-04-13,New
40,Смородина,8200.0,988,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-04-02,2029-04-10,Available for Pickup
42,Пакеты для бассейна,1039.0,513,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2000-07-12,2001-03-03,Backorder
43,Туалетная бумага,8716.0,500,Товары для дома,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-04-06,2030-10-01,Backorder
44,Мортаделла,5736.0,290,Мясо,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1998-07-01,2018-01-09,Delivered
45,Редис,4913.0,152,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2020-01-19,2025-05-17,New
47,Каша из дробленного риса,6166.0,750,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2006-01-04,2016-07-08,Cancelled
48,Пакеты для Дня защиты детей,5193.0,839,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2012-07-27,2029-04-03,Awaiting Payment
50,Открывалка для бутылок,9662.0,869,Товары для дома,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2015-02-03,2018-03-10,Returned
51,Кабанятина,800.0,954,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2011-02-03,2012-02-01,Temporarily Unavailable
52,Крыжовник,8640.0,461,Фрукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2017-08-02,2020-03-04,Sold
53,Холодный чай с лимоном,7986.0,22,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2022-03-17,2022-04-12,New
55,Ямс,8164.0,442,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2018-07-11,2028-01-05,Sold
56,Телятина,6197.0,36,Мясо,Отличается легкостью в переваривании и усвоении организмом.,2000-04-03,2021-02-14,Awaiting Payment
57,Аква Минерале,1473.0,260,Напитки,Подходит для использования в рецептах традиционной кухни разных стран.,2010-01-01,2026-01-04,Shipping
58,Липецкий бювет,853.0,131,Напитки,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2013-01-13,2014-07-03,Returned
59,Антрекот,8643.0,482,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2015-03-01,2030-10-08,Out of Stock
60,Каша из дробленой булгура,5570.0,216,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2016-04-01,2029-05-07,Temporarily Unavailable
61,Портулак,2871.0,686,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1995-08-02,2000-01-06,Returned
62,Студень,4237.0,870,Мясо,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2008-01-02,2030-02-01,Pending
63,Киви,4754.0,403,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,1993-04-08,2016-04-03,Awaiting Review
64,Дыня,454.0,207,Фрукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2014-04-02,2017-08-01,Refunded
65,Партенит,8257.0,28,Напитки,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2022-01-08,2025-01-05,Delivered
66,Каша из дробленного риса,5040.0,753,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1990-07-04,2015-03-01,Backorder
67,Пакеты для Пасхи,8158.0,256,Товары для дома,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2009-03-09,2017-09-01,Returned
68,Смородина,8710.0,382,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1997-01-03,2024-03-21,In Stock
69,Окра,8100.0,990,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2005-01-05,2012-02-01,Cancelled
70,Каша из полбы,4289.0,397,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,1990-03-16,1993-07-11,Awaiting Payment
71,Ложки столовые,5089.0,715,Товары для дома,Способствует поддержанию нормальной микрофлоры кишечника.,2016-01-07,2025-04-04,Temporarily Unavailable
72,Фарш говяжий,3260.0,111,Мясо,Является важным компонентом сбалансированного рациона питания.,2021-01-14,2030-02-12,On Backorder
73,Кондиционер для волос,2228.0,769,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",1995-04-06,2028-03-07,Cancelled
74,Клинская,2758.0,785,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2003-04-01,2020-08-12,Shipping
75,Гатчинская,5719.0,193,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2000-03-02,2027-04-01,Temporarily Unavailable
76,Кашинская,5910.0,941,Напитки,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2012-05-05,2028-01-02,Out of Stock
77,Дыня,7327.0,34,Фрукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1996-03-12,2022-04-08,Temporarily Unavailable
80,Куриные субпродукты,2433.0,646,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1992-03-01,2025-06-09,Pending
81,Гель после бритья,9498.0,371,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2018-04-01,2023-03-06,Pending
82,Фарш говяжий,2224.0,970,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2004-03-07,2023-05-02,Temporarily Unavailable
